W_PCT,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,OPP_FGM,OPP_FGA,OPP_FG_PCT,OPP_FG3M,OPP_FG3A,OPP_FG3_PCT,OPP_FTM,OPP_FTA,OPP_FT_PCT,OPP_OREB,OPP_DREB,OPP_REB,OPP_AST,OPP_TOV,OPP_STL,OPP_BLK,OPP_BLKA,OPP_PF,OPP_PFD,OPP_PTS
0.354,41.4,91.8,0.451,13.0,37.0,0.352,17.6,23.4,0.752,11.6,34.5,46.1,25.8,17.0,8.2,5.1,5.5,23.6,22.2,113.3,42.8,90.5,0.473,12.4,34.4,0.359,21.5,28.3,0.758,10.6,35.4,46.0,26.9,15.0,9.9,5.5,5.1,22.2,23.6,119.4
0.598,42.1,90.5,0.465,12.6,34.5,0.365,15.6,19.5,0.802,9.8,34.7,44.5,26.3,12.8,8.6,5.3,3.9,20.4,19.5,112.4,39.5,88.1,0.448,11.5,33.5,0.344,17.4,22.8,0.764,10.4,35.5,45.9,23.7,15.1,6.8,3.9,5.3,19.5,20.4,108.0
0.232,38.9,87.6,0.444,10.3,29.1,0.355,16.4,20.7,0.792,10.7,31.9,42.7,20.7,13.5,6.5,2.4,5.6,20.0,19.4,104.5,43.2,87.2,0.495,12.0,31.6,0.38,15.8,20.5,0.77,9.5,34.6,44.1,25.7,12.5,6.9,5.6,2.4,19.4,20.0,114.1
0.402,43.7,92.2,0.473,10.3,29.9,0.344,17.8,23.4,0.761,11.1,36.2,47.3,27.0,14.8,7.4,5.4,5.4,21.1,21.0,115.4,43.3,92.8,0.466,12.3,33.7,0.364,17.9,23.5,0.764,11.0,34.8,45.8,26.5,13.6,8.6,5.4,5.4,21.0,21.1,116.8
0.268,39.8,87.9,0.453,9.1,25.9,0.351,16.2,20.7,0.783,8.8,34.1,42.9,21.9,14.1,7.4,4.3,5.8,20.3,18.7,104.9,42.2,89.2,0.473,12.1,33.0,0.365,16.8,22.0,0.763,10.0,36.4,46.4,25.5,13.3,7.3,5.8,4.3,18.7,20.3,113.4
0.402,38.8,86.9,0.447,12.5,36.6,0.34,18.8,25.3,0.742,10.1,35.2,45.3,23.4,14.2,6.5,4.3,4.5,20.1,23.2,108.9,40.9,89.2,0.459,11.2,32.5,0.344,17.1,22.0,0.777,10.2,34.6,44.8,24.5,13.0,7.8,4.5,4.3,23.2,20.1,110.1
0.659,41.9,90.0,0.466,11.0,31.4,0.351,15.8,20.9,0.755,11.9,34.5,46.4,27.4,13.4,7.7,4.4,5.0,20.0,20.4,110.7,39.6,86.4,0.458,10.8,31.9,0.339,16.7,22.2,0.753,9.7,32.7,42.5,24.6,13.5,7.4,5.0,4.4,20.4,20.0,106.7
0.695,44.0,89.8,0.491,13.3,34.4,0.385,16.3,20.4,0.801,9.7,36.5,46.2,29.4,14.3,7.6,6.4,3.6,21.4,19.5,117.7,40.4,91.1,0.444,11.6,33.6,0.347,18.7,24.2,0.773,10.8,33.5,44.3,24.3,13.5,7.7,3.6,6.4,19.5,21.4,111.2
0.646,39.2,87.4,0.449,16.1,45.4,0.356,19.3,24.4,0.791,10.2,31.9,42.1,21.2,13.3,8.5,4.9,4.5,22.0,20.0,113.9,40.4,86.7,0.466,10.1,29.8,0.34,18.2,23.7,0.768,11.0,34.5,45.4,23.5,15.0,7.4,4.5,4.9,20.0,22.0,109.1
0.585,41.3,87.5,0.471,10.0,25.8,0.388,22.6,28.5,0.792,9.7,35.8,45.5,24.0,14.5,6.8,4.7,6.1,23.3,24.0,115.1,41.7,91.3,0.457,10.4,30.2,0.343,20.5,26.3,0.777,11.3,34.5,45.7,24.1,13.2,8.3,6.1,4.7,24.0,23.3,114.3
0.451,42.6,90.5,0.47,10.3,31.0,0.333,16.3,23.3,0.699,10.2,36.4,46.6,25.6,15.7,7.5,5.4,5.1,20.7,20.8,111.8,41.9,92.8,0.452,11.8,34.0,0.349,17.8,22.7,0.784,11.3,35.6,46.9,25.0,14.2,8.3,5.1,5.4,20.8,20.7,113.5
0.476,39.6,88.0,0.45,11.3,32.4,0.349,15.1,21.7,0.695,11.2,35.1,46.3,24.3,14.7,7.6,5.5,4.7,20.9,20.1,105.7,38.3,86.8,0.441,11.9,33.1,0.358,17.5,22.7,0.769,10.1,34.0,44.2,23.3,14.1,7.5,4.7,5.5,20.1,20.9,105.9
0.732,43.4,91.1,0.476,13.5,38.2,0.353,17.9,23.2,0.773,9.3,40.4,49.7,26.0,13.9,7.5,5.9,4.8,19.6,20.2,118.1,40.5,93.5,0.433,13.1,36.3,0.361,15.1,20.7,0.733,9.9,35.4,45.3,24.8,13.4,6.8,4.8,5.9,20.2,19.6,109.3
0.439,41.6,91.3,0.456,10.1,28.7,0.351,19.1,24.3,0.787,11.3,33.5,44.8,24.6,13.1,8.3,5.0,5.5,20.3,21.9,112.5,42.1,90.1,0.467,12.7,33.6,0.378,17.1,22.3,0.767,11.2,34.4,45.6,26.2,14.7,6.6,5.5,5.0,21.9,20.3,114.0
0.512,40.3,89.7,0.449,12.8,36.2,0.353,19.0,25.5,0.745,11.0,35.6,46.6,23.8,15.1,6.6,4.1,5.3,21.5,22.0,112.2,42.2,92.5,0.456,10.3,30.3,0.341,17.6,22.8,0.77,11.0,35.2,46.2,23.7,13.5,7.8,5.3,4.1,22.0,21.5,112.3
0.207,38.2,88.3,0.433,10.0,29.5,0.34,18.1,23.9,0.759,10.5,34.3,44.7,20.1,14.0,6.8,5.1,5.6,20.9,20.8,104.6,41.9,89.7,0.467,11.8,32.6,0.363,18.2,23.8,0.766,10.7,36.8,47.5,25.6,13.2,7.4,5.6,5.1,20.8,20.9,113.8
0.512,40.4,89.1,0.454,11.4,32.1,0.356,15.0,19.2,0.782,10.0,35.4,45.4,25.5,13.2,6.6,5.4,4.4,18.6,18.7,107.3,39.9,87.6,0.456,10.5,30.2,0.347,16.3,20.9,0.778,9.0,35.6,44.6,23.1,13.0,7.0,4.4,5.4,18.7,18.6,106.6
0.585,41.3,87.0,0.475,9.5,25.4,0.374,15.8,21.1,0.752,9.3,33.7,43.0,26.0,13.7,8.7,4.9,5.2,19.4,20.0,108.0,38.7,86.1,0.45,11.4,32.1,0.354,15.8,21.0,0.756,10.5,33.1,43.7,24.5,15.7,7.4,5.2,4.9,20.0,19.4,104.7
0.622,41.5,88.2,0.471,10.8,30.2,0.359,21.2,27.5,0.771,10.9,36.9,47.8,26.9,14.9,7.4,5.3,4.1,21.3,22.1,115.2,41.7,91.5,0.455,10.3,30.0,0.342,18.8,24.5,0.768,10.0,33.5,43.5,23.4,12.7,7.7,4.1,5.3,22.1,21.3,112.5
0.232,40.1,87.4,0.459,9.6,29.3,0.329,17.6,22.7,0.779,9.1,31.3,40.4,23.9,15.6,9.0,5.1,5.0,23.6,20.7,107.5,42.5,88.2,0.482,11.1,29.9,0.372,20.8,27.6,0.753,11.8,35.3,47.2,25.9,15.7,9.0,5.0,5.1,20.7,23.6,116.8
0.646,42.3,90.6,0.467,11.0,30.7,0.359,19.0,23.3,0.814,11.8,36.2,48.0,23.0,13.8,6.7,5.0,5.1,20.4,20.7,114.7,41.1,90.0,0.457,10.7,29.8,0.359,17.5,22.8,0.77,10.3,32.6,42.8,23.2,12.4,7.4,5.1,5.0,20.7,20.4,110.5
0.476,43.2,93.1,0.464,11.3,29.9,0.378,16.5,22.7,0.726,11.0,34.4,45.4,25.4,13.4,8.3,4.4,5.1,21.4,21.4,114.2,42.3,90.6,0.466,12.0,34.6,0.348,18.8,24.4,0.77,11.2,36.8,48.0,24.7,15.9,7.5,5.1,4.4,21.4,21.4,115.3
0.585,42.3,88.4,0.478,9.9,25.3,0.392,17.2,21.0,0.819,9.2,35.5,44.7,24.5,12.1,6.1,4.7,4.0,18.1,19.6,111.7,41.5,89.7,0.463,11.7,32.7,0.359,15.2,20.2,0.755,9.2,34.7,43.9,24.7,12.2,7.2,4.0,4.7,19.6,18.1,110.0
0.598,42.6,94.0,0.454,11.4,32.6,0.348,17.8,25.0,0.713,12.6,35.5,48.1,23.4,14.0,9.3,5.2,5.1,22.4,22.5,114.5,40.8,88.7,0.46,11.2,31.6,0.356,18.3,24.0,0.761,9.9,35.8,45.7,24.9,16.7,8.2,5.1,5.2,22.5,22.4,111.1
0.707,42.2,89.1,0.474,12.4,33.8,0.366,17.7,22.0,0.804,9.6,35.6,45.2,25.4,14.0,8.3,5.3,4.5,21.0,20.5,114.4,40.3,89.7,0.449,10.8,31.2,0.345,17.1,22.3,0.765,10.6,34.2,44.8,24.5,14.9,7.6,4.5,5.3,20.5,21.0,108.4
0.61,40.4,86.4,0.468,12.1,34.0,0.356,18.8,25.5,0.736,10.0,36.4,46.4,26.0,15.1,8.1,5.9,4.6,21.1,22.4,111.7,40.0,88.5,0.452,9.8,27.7,0.355,16.7,22.2,0.753,8.9,33.7,42.6,21.6,13.9,8.5,4.6,5.9,22.4,21.1,106.5
0.402,38.0,84.4,0.45,9.9,28.9,0.342,17.7,23.0,0.772,8.8,33.0,41.8,23.9,14.0,8.3,5.5,4.9,22.0,21.4,103.5,37.6,83.4,0.451,11.6,32.2,0.36,19.3,24.7,0.784,9.5,35.2,44.7,23.4,15.2,7.6,4.9,5.5,21.4,22.0,106.1
0.39,42.1,90.1,0.468,11.3,33.3,0.341,18.4,23.9,0.768,9.7,32.7,42.4,26.3,14.1,8.3,4.6,4.6,20.7,21.2,114.0,43.4,90.5,0.48,12.1,32.8,0.37,18.0,23.1,0.778,11.4,35.8,47.3,26.2,15.8,7.7,4.6,4.6,21.2,20.7,116.9
0.5,38.8,88.3,0.44,12.1,34.8,0.348,17.3,23.1,0.747,11.4,33.6,45.0,22.5,13.8,6.9,4.0,5.1,22.1,21.3,107.0,39.9,85.0,0.469,9.6,27.8,0.345,17.9,23.7,0.755,9.1,34.6,43.7,23.7,14.1,6.9,5.1,4.0,21.3,22.1,107.3
0.476,40.2,89.8,0.448,11.9,33.9,0.351,18.4,23.1,0.797,9.9,33.9,43.8,23.2,12.2,7.2,4.9,6.0,18.9,20.6,110.7,41.9,89.2,0.47,12.1,33.5,0.361,15.9,20.2,0.787,10.1,35.7,45.8,26.0,13.5,6.9,6.0,4.9,20.6,18.9,111.8
0.299,40.6,90.6,0.449,12.0,36.1,0.333,18.5,23.4,0.79,9.9,33.4,43.3,24.0,16.2,7.8,5.1,6.4,23.1,21.0,111.8,43.3,90.7,0.478,11.9,32.7,0.363,21.2,27.4,0.772,11.2,35.9,47.0,25.0,15.0,9.0,6.4,5.1,21.0,23.1,119.7
0.667,41.3,89.6,0.461,12.6,34.5,0.364,18.6,23.2,0.801,10.7,35.4,46.1,23.0,13.8,8.3,5.6,5.5,21.6,20.7,113.7,38.4,87.1,0.441,11.8,34.8,0.34,18.8,24.5,0.767,10.3,34.0,44.3,22.4,15.2,7.1,5.5,5.6,20.7,21.6,107.3
0.292,40.3,87.9,0.458,11.2,31.8,0.351,15.1,19.9,0.758,10.8,33.4,44.2,23.1,16.5,6.9,3.2,6.3,18.3,19.6,106.9,43.9,89.4,0.491,12.4,33.0,0.375,14.7,19.2,0.767,9.7,33.1,42.9,26.1,13.0,9.4,6.3,3.2,19.6,18.3,114.8
0.417,42.6,91.6,0.465,13.6,36.9,0.37,17.1,23.4,0.729,11.1,35.4,46.5,26.8,16.4,7.5,5.0,4.8,21.2,21.1,115.8,42.7,91.8,0.465,12.2,33.9,0.361,19.4,24.7,0.789,10.1,34.7,44.8,24.5,14.5,8.5,4.8,5.0,21.1,21.2,117.1
0.338,39.6,88.6,0.447,12.2,35.1,0.348,15.5,20.5,0.755,10.5,31.4,41.9,23.2,15.5,10.0,4.1,5.9,21.8,19.2,106.8,39.5,82.5,0.479,11.2,31.6,0.353,19.7,26.0,0.759,10.2,35.4,45.5,25.4,18.3,8.2,5.9,4.1,19.2,21.8,109.9
0.573,41.7,90.3,0.461,15.1,41.3,0.367,18.6,23.8,0.779,10.5,36.4,46.9,24.7,12.7,6.1,4.8,4.1,19.5,21.3,117.0,41.9,91.6,0.458,12.3,34.9,0.351,16.0,21.0,0.76,10.4,35.0,45.4,23.9,11.9,7.0,4.1,4.8,21.3,19.5,112.1
0.63,42.0,88.9,0.473,11.0,30.6,0.359,16.2,20.9,0.777,10.8,33.4,44.1,26.7,13.8,8.0,4.6,4.4,20.3,20.5,111.3,40.0,86.5,0.463,12.1,33.9,0.358,17.1,22.5,0.759,10.1,32.6,42.6,25.4,14.3,7.2,4.4,4.6,20.5,20.3,109.2
0.231,38.6,88.2,0.438,10.4,31.3,0.334,18.7,23.2,0.803,10.0,32.9,42.8,25.6,14.9,8.2,4.6,4.9,20.1,20.1,106.3,42.2,88.6,0.476,13.5,34.8,0.389,17.1,21.9,0.783,10.2,36.3,46.5,26.1,15.6,8.2,4.9,4.6,20.1,20.1,115.0
0.611,40.8,90.4,0.451,15.6,45.3,0.345,20.6,26.1,0.791,9.8,34.5,44.3,21.6,14.7,8.7,5.2,4.9,21.8,21.0,117.8,42.3,91.5,0.462,12.2,35.0,0.349,18.0,23.7,0.761,11.2,36.7,47.9,25.3,16.2,8.0,4.9,5.2,21.0,21.8,114.8
0.681,41.6,89.2,0.466,12.4,33.5,0.371,20.8,26.3,0.791,10.7,37.0,47.7,23.7,14.6,7.1,4.7,4.7,22.1,22.9,116.3,39.5,90.2,0.438,12.3,35.6,0.345,18.5,24.5,0.756,10.7,34.6,45.3,23.7,14.1,7.5,4.7,4.7,22.9,22.1,109.9
0.732,42.3,88.3,0.48,11.0,31.6,0.349,17.7,24.3,0.729,10.7,35.1,45.7,25.4,15.2,8.6,6.6,3.7,20.7,21.7,113.4,39.1,87.1,0.448,11.6,33.4,0.349,17.9,22.9,0.781,9.4,32.9,42.3,23.4,15.9,8.2,3.7,6.6,21.7,20.7,107.6
0.603,39.5,84.4,0.468,13.4,35.4,0.379,19.7,25.2,0.783,8.5,35.9,44.4,25.9,14.9,7.5,4.5,4.1,20.6,21.7,112.0,38.8,86.7,0.448,13.1,37.7,0.347,18.4,23.6,0.783,9.2,33.3,42.5,24.6,14.0,7.5,4.1,4.5,21.7,20.6,109.1
0.767,43.3,90.9,0.476,13.8,38.9,0.355,18.3,24.7,0.742,9.5,42.2,51.7,25.9,15.1,7.2,5.9,4.5,19.6,21.7,118.7,38.9,94.0,0.414,14.0,39.3,0.355,16.7,21.2,0.787,9.5,36.3,45.8,24.2,14.1,7.4,4.5,5.9,21.7,19.6,108.6
0.297,40.4,91.6,0.441,13.3,39.7,0.336,19.1,25.4,0.753,10.5,34.3,44.8,23.8,15.3,8.7,5.7,5.5,21.4,21.6,113.3,43.1,90.4,0.477,11.6,31.9,0.363,19.7,25.2,0.783,10.1,37.2,47.3,24.4,15.5,7.8,5.5,5.7,21.6,21.4,117.5
0.486,40.4,90.3,0.448,13.1,38.1,0.343,17.9,24.1,0.745,10.6,37.3,47.9,24.5,15.3,6.4,4.5,5.3,21.0,21.1,111.8,41.4,92.9,0.446,12.2,34.8,0.35,17.4,22.6,0.769,10.6,35.3,45.9,22.6,12.8,7.7,5.3,4.5,21.1,21.0,112.3
0.318,40.0,89.3,0.447,9.6,28.4,0.337,16.3,23.5,0.694,12.0,34.5,46.5,22.1,14.3,7.6,4.7,5.0,22.2,19.8,105.8,39.9,86.0,0.463,13.3,34.9,0.381,19.2,25.7,0.749,9.6,34.6,44.2,24.3,13.7,7.2,5.0,4.7,19.8,22.2,112.3
0.452,39.3,88.6,0.444,11.1,32.2,0.343,17.6,22.7,0.774,10.3,34.2,44.5,23.9,12.8,8.2,5.4,4.6,18.3,19.5,107.3,40.4,86.9,0.465,12.2,33.6,0.364,15.3,19.8,0.771,9.0,35.8,44.9,24.7,14.6,7.0,4.6,5.4,19.5,18.3,108.3
0.616,42.1,88.5,0.476,10.2,28.0,0.363,15.0,19.1,0.787,8.7,34.1,42.8,25.9,13.2,7.4,5.2,4.6,19.8,18.8,109.4,39.5,88.5,0.446,11.5,33.6,0.341,17.0,21.6,0.788,10.4,34.9,45.2,23.1,14.7,6.9,4.6,5.2,18.8,19.8,107.5
0.589,41.1,87.9,0.468,11.6,31.6,0.368,16.9,22.4,0.755,10.5,35.0,45.4,25.8,14.2,8.0,5.3,4.0,20.9,20.5,110.7,39.8,86.0,0.463,10.4,29.4,0.353,18.4,24.5,0.751,8.6,33.2,41.8,22.8,13.8,7.0,4.0,5.3,20.5,20.9,108.4
0.466,41.2,88.1,0.468,11.4,31.8,0.358,19.9,23.8,0.834,9.8,33.8,43.5,27.2,14.8,7.7,4.0,5.5,22.0,22.6,113.6,41.2,87.4,0.472,11.6,32.0,0.363,19.3,24.5,0.788,9.1,34.2,43.3,23.6,15.6,7.9,5.5,4.0,22.6,22.0,113.4
0.473,42.2,91.2,0.463,12.9,34.1,0.377,17.7,22.1,0.804,10.2,35.1,45.3,20.6,12.8,6.3,6.1,4.9,21.7,20.1,115.0,41.8,91.6,0.456,13.6,35.4,0.383,19.1,24.7,0.771,11.5,35.4,46.9,24.9,12.9,6.8,4.9,6.1,20.1,21.7,116.1
0.431,40.9,88.4,0.462,12.7,34.9,0.364,15.7,20.3,0.77,9.7,32.9,42.6,23.8,14.5,7.7,4.1,4.2,22.2,19.5,110.1,40.3,85.5,0.471,12.4,34.8,0.357,19.2,24.3,0.79,9.1,34.5,43.5,24.9,15.2,7.7,4.2,4.1,19.5,22.2,112.1
0.451,42.2,89.4,0.472,10.7,28.5,0.376,19.0,23.4,0.81,9.0,35.6,44.6,24.7,12.6,7.3,5.5,4.3,19.4,20.1,114.1,42.3,90.2,0.469,13.1,35.1,0.373,17.4,22.5,0.777,9.4,35.9,45.3,25.7,13.2,6.8,4.3,5.5,20.1,19.4,115.2
0.611,40.0,85.5,0.468,10.7,30.2,0.355,19.8,24.8,0.796,8.2,34.7,42.9,21.7,13.7,7.6,4.9,4.0,19.3,22.8,110.4,40.8,89.6,0.455,11.3,33.3,0.34,15.5,19.6,0.795,10.5,34.3,44.8,23.0,14.2,7.0,4.0,4.9,22.8,19.3,108.4
0.736,40.2,87.9,0.458,13.8,37.0,0.374,18.5,23.2,0.796,9.5,35.9,45.4,25.2,14.8,8.8,5.0,5.5,21.7,20.4,112.8,37.8,88.3,0.428,13.1,38.9,0.337,17.8,23.2,0.769,10.9,35.1,46.1,25.6,16.8,7.2,5.5,5.0,20.4,21.7,106.5
0.611,40.1,85.1,0.471,13.4,35.2,0.38,17.8,22.8,0.779,9.1,35.8,44.9,22.4,15.1,6.1,4.1,4.6,20.4,20.8,111.3,40.7,89.1,0.457,11.0,31.0,0.353,16.5,21.5,0.767,9.6,33.1,42.7,21.5,12.3,7.9,4.6,4.1,20.8,20.4,108.8
0.466,42.5,90.9,0.468,10.9,31.5,0.347,16.6,21.8,0.763,10.3,36.2,46.5,26.9,15.2,7.9,5.5,5.3,21.2,20.2,112.6,40.6,90.3,0.45,12.9,35.3,0.365,19.6,25.0,0.782,10.4,34.5,44.9,24.8,14.8,8.0,5.3,5.5,20.2,21.2,113.7
0.347,41.5,90.9,0.457,12.0,32.6,0.368,19.4,24.6,0.788,10.2,31.9,42.0,25.0,14.2,8.0,4.3,5.0,22.7,22.2,114.4,43.1,88.4,0.488,12.4,33.1,0.376,20.4,26.3,0.778,10.5,35.7,46.2,25.2,16.2,7.5,5.0,4.3,22.2,22.7,119.1
0.303,39.3,85.7,0.459,12.0,32.7,0.367,16.6,22.4,0.743,9.8,32.0,41.7,24.1,15.3,7.4,4.5,5.6,19.7,19.8,107.2,41.9,87.3,0.48,10.7,29.6,0.361,16.2,20.9,0.777,10.1,33.4,43.5,24.6,14.0,8.2,5.6,4.5,19.8,19.7,110.8
